epoch,training_loss,validation_loss,validation_accuracy,saved
1,1.7549488547487468,1.6707912373551483,0.2986606910208974,1
2,1.6504087174009365,1.7421097626649567,0.28526760122987127,0
3,1.5720271551087406,1.64210028420755,0.3148678930637344,1
4,1.5232018060966825,1.7384883564815297,0.3153369117723696,0
1,1.5287208711195839,1.6703930948032708,0.31768200531554536,1
2,1.5085806148388967,1.6260911120165196,0.32930324665172755,1
3,1.4896795997558832,1.694371607113645,0.32727083224764186,0
4,1.4733558366332098,1.6019940496429097,0.34618792016259314,1
5,1.4568861970819982,1.6861239610266752,0.3374850174579186,0
6,1.4431970656432713,1.6260368006083659,0.3533274271718172,0
7,1.43259310013726,1.5790443271375247,0.3665120642034499,1
8,1.4171308197758885,1.6716336539006729,0.34858512689561727,0
9,1.407569516864131,1.716539958442902,0.350773880869248,0
10,1.3933239317152357,1.5995012859634923,0.3704205534420762,0
11,1.3814629968670888,1.7140946023019024,0.34639637292198655,0
12,1.368432367125685,1.5476190692419631,0.38277137943613526,1
13,1.3609209444200352,1.6419438205519998,0.36604304549481476,0
14,1.350602659653654,1.5391036219678618,0.39387148887383394,1
15,1.3386923046580226,1.6275270311038113,0.3681796862785971,0
16,1.3271825050826012,1.6014709537637706,0.37943613528584086,0
17,1.3184710717270398,1.5807740575072353,0.39230809317838344,0
18,1.3068392366201427,1.6139245783284355,0.38678409505445827,0
19,1.2994917287874084,1.6494299862369761,0.37860232424826723,0
20,1.289468862519753,1.6036369627925688,0.3876700192818802,0
21,1.2802658023569498,1.6298374183306297,0.3916827349002032,0
22,1.272129984513027,1.4856563710304105,0.4175829902548335,1
23,1.2614161765687024,1.534333598806944,0.40747303142425345,0
24,1.255128668262709,1.596981867940512,0.39579967689822293,0
25,1.2455146699682544,1.6812711422772273,0.38287560581583197,0
26,1.2385767222005777,1.6097763398321208,0.39397571525353065,0
27,1.2304063528444324,1.6719817067951972,0.38746156652248687,0
28,1.2263548671583189,1.4367585499828743,0.4383761530043254,1
29,1.2179160935527507,1.5867277909806226,0.4034603158059305,0
30,1.2121330502258245,1.5374965097366338,0.41586325498983795,0
31,1.2045110944789041,1.5587497673957083,0.41497733076241594,0
32,1.1955124337836325,1.688903180187034,0.3966856011256449,0
33,1.192826402722233,1.6131486382104985,0.4070561259054667,0
34,1.1823763288630655,1.7198946371801114,0.3913700557611131,0
35,1.1765379280031554,1.7025790341892288,0.38860805669915055,0
36,1.1695882837389728,1.5174138592831308,0.42493095002345094,0
37,1.1613408793445046,1.7418526936623557,0.38673198186460994,0
38,1.1561513829964736,1.4849858714390014,0.44082547292719787,0
39,1.152046506323743,1.6120049861703896,0.4169576319766533,0
40,1.1474817602382663,1.7804825635194668,0.3842305487518891,0
41,1.1365893766104607,1.5695324388214582,0.4222210641513367,0
42,1.1287496622025337,1.5476015763456972,0.4335296263484288,0
43,1.1236987584975011,1.6693028776050143,0.41013080410651936,0
44,1.118029802049358,1.6184863985793116,0.41226744489030176,0
45,1.1119497058365355,1.5757069664430368,0.4313929855646464,0
46,1.1106964037885412,1.681191506899691,0.4102871436760644,0
47,1.101368472952073,1.6515549080499459,0.4128406899786336,0
48,1.0975142749790054,1.423654785380641,0.4681327844077336,1
49,1.0881930154126198,1.7074432904453547,0.41023503048621607,0
50,1.0861756875221884,1.5602914340872907,0.43337328677888376,0
51,1.0794472851839296,1.5254995264289615,0.4434311324196154,0
52,1.0708350536090916,1.5150226743431634,0.4535410912501954,0
53,1.0630331477214872,1.52589643774376,0.4450466413049143,0
54,1.0604028585735037,1.4687117472057252,0.4601073531710876,0
55,1.056465284566806,1.6720494931644594,0.4184168012924071,0
56,1.0492156873779837,1.6557960641148675,0.4239407994163323,0
57,1.0507440603597145,1.6466729621081089,0.4245140445046641,0
58,1.0391055399148086,1.5419894458913488,0.445150867684611,0
59,1.0390076859288042,1.590327653674164,0.43926207723174737,0
60,1.027392119075532,1.4122920863742323,0.47548074417635106,1
61,1.0231858437684245,1.487470532844013,0.4625566730939601,0
1,1.0405915499826899,1.603364291015415,0.4378029079159935,1
2,1.0349601911736837,1.5995115152810078,0.4393663036114441,1
3,1.0219831978905942,1.5980012548666225,0.4413466048256814,1
4,1.0206064321044412,1.501665318557063,0.45969044765230077,1
5,1.005254065496357,1.6118074559054631,0.4433790192297671,0
6,1.000441960154735,1.5346520531139625,0.4628172390432018,0
7,0.9919281658718004,1.5967899392386575,0.4511438845171713,0
8,0.9841983278745666,1.5518531453784035,0.4623482203345667,0
9,0.974229569204599,1.424290952261793,0.4813174214393663,1
10,0.9680191432069001,1.5295334643635259,0.4690708218250039,0
11,0.9607433901711229,1.6526415446208524,0.44212830267340664,0
12,0.9478725934638681,1.5990458700169716,0.45953410808275574,0
13,0.9372523778992472,1.4910750713695784,0.47485538589817083,0
